,,,-4.81600035E-3,0.0,,,,,-4.81600035E-3,-39.99999911E-3,
,,,-4.81200032E-3,0.0,,,,,-4.81200032E-3,-39.99999911E-3,
,,,-4.80800029E-3,0.0,,,,,-4.80800029E-3,0.0,
,,,-4.80400026E-3,0.0,,,,,-4.80400026E-3,79.999998212E-3,
,,,-4.80000023E-3,39.99999911E-3,,,,,-4.80000023E-3,119.9999973E-3,
,,,-4.79600020E-3,0.0,,,,,-4.79600020E-3,39.99999911E-3,
,,,-4.79200017E-3,0.0,,,,,-4.79200017E-3,-39.99999911E-3,
,,,-4.78800014E-3,0.0,,,,,-4.78800014E-3,-119.9999973E-3,
,,,-4.78400011E-3,0.0,,,,,-4.78400011E-3,-79.999998212E-3,
,,,-4.78000008E-3,-39.99999911E-3,,,,,-4.78000008E-3,0.0,
,,,-4.77600005E-3,0.0,,,,,-4.77600005E-3,79.999998212E-3,
,,,-4.77200001E-3,0.0,,,,,-4.77200001E-3,79.999998212E-3,
,,,-4.76799998E-3,0.0,,,,,-4.76799998E-3,39.99999911E-3,
,,,-4.76399995E-3,-39.99999911E-3,,,,,-4.76399995E-3,39.99999911E-3,
,,,-4.76000039E-3,0.0,,,,,-4.76000039E-3,0.0,
,,,-4.75600036E-3,0.0,,,,,-4.75600036E-3,-79.999998212E-3,
,,,-4.75200033E-3,0.0,,,,,-4.75200033E-3,-79.999998212E-3,
,,,-4.74800030E-3,0.0,,,,,-4.74800030E-3,0.0,
,,,-4.74400027E-3,0.0,,,,,-4.74400027E-3,79.999998212E-3,
,,,-4.74000024E-3,0.0,,,,,-4.74000024E-3,119.9999973E-3,
,,,-4.73600021E-3,0.0,,,,,-4.73600021E-3,39.99999911E-3,
,,,-4.73200018E-3,0.0,,,,,-4.73200018E-3,-39.99999911E-3,
,,,-4.72800015E-3,0.0,,,,,-4.72800015E-3,-39.99999911E-3,
,,,-4.72400011E-3,0.0,,,,,-4.72400011E-3,-39.99999911E-3,
